POSIBLES NUEVOS:

Ética a Nicómaco, Aristóteles
El existencialismo es un humanismo, Jean-Paul Sartre
Ser y tiempo, Martin Heidegger
Así habló Zaratustra, Friedrich Nietzsche
Sobre la felicidad, Epicuro
El hombre en busca de sentido, Viktor Frankl
El concepto de la angustia, Søren Kierkegaard
Las palabras y las cosas, Michel Foucault
El extranjero, Albert Camus
El Profeta, Kahlil Gibran
La montaña mágica, Thomas Mann
El sentido de la vida, Terry Eagleton
El ser y la nada, Jean-Paul Sartre

LEIDOS:

